"Course Type","Lowest Eligible Year","Course Name","Instructor's Name","Semester","Day (1)","Period (1)","Day (2)","Period (2)","Overall Satisfaction","Difficulty of achieving high score","Is the class beneficial","Overall comment and evaluation regarding the class/instructor"
"Introductory Subjects",1," Introduction to Macroeconomics　51","BAAK, Saang Joon","Fall Semester","Monday",5,,,3,4,4,"教授人很好，不過教課有點混，通常要過至少三十分鐘他才會開始上課，然後上課時很常在講自己的生活日常跟童年回憶，一堂課下來教書的時間大概只有半小時。整個學期下來我覺得自己讀課本學到的東西比上課還多。
兩次大考雖然佔總成績91%，但都是單選題，重要觀念有弄懂的話要及格不會很難，但若要考高分，建議熟讀課本跟Course Navi上的PPT。"
"Introductory Subjects",1,"Introduction to International Relations 51","CHEUNG, Mong","Fall Semester","Tuesday",3,,,4,3,4,"課程分為歷史跟理論兩部分，歷史部分因為高中學過所以不會太難，但理論就還蠻抽象的，即使看中文定義也不容易懂，需要一些時間消化。一學期下來收穫蠻多的!"
"First Year Seminar",1,"First Year Seminar IB 55 The Titanic Story","BURLEIGH, David","Fall Semester","Wednesday",4,,,5,4,4,"要唸一本A Night to Remember的書，每次上課前要唸完一章上課時討論。基本上教授不會特別要特定一個人回答問題，但是他會等全班真的不知道答案才會開始解釋。念到中間章節的時候教授會出不同問題給每個學生讓他們回家找答案下次課堂上報告（會算分）。期中沒有考試但要做一個presentation，期末要寫一篇論文。如果對鐵達尼號的真實故事感興趣的話蠻推薦選的。"
"Introductory Subjects",1,"  Introduction to Marketing 51","Mariko Morimoto","Fall Semester","Monday",3,,,4,2,3,"固定座位、每堂都點名（但可以缺課兩次不扣分）、規定不能用電子產品（手機、筆電等）因此筆記全部用手寫，教授講課有時較快，手寫要快一點。

教授人不會不好，只是有她自己的規矩。上課多舉手發言才能拿參與分。
考試都從筆記出，要讀熟才能拿高分；課本只會用來做線上作業，因此需要買新的課本才有新序號可以用。

整體而言，老實說學到的沒有想像得多，但國教marketing類型的課較少，若對這個部分有興趣還是建議修這堂課。"
"Introductory Subjects",1,"  Introduction to Macroeconomics 51","BAAK Saang Joon","Fall Semester","Monday",5,,,4,2,3,"教授蠻可愛搞笑的，講話有一點口音（是韓國人），偶爾會有幾個字聽不懂，但大體上沒問題。上課要認真聽，不要睡著，不然容易錯過很多東西。

上課不會照著課本來，教授有自己的一套，了解他講的內容個人認為對課本的理解有幫助。但考試會考到課本很細的地方，認真讀課本才好拿高分。"
"Introductory Subjects",1,"Introduction to International Relations 51","CHEUNG, Mong","Fall Semester","Tuesday",3,,,4,3,4,"教授人很好。每堂課都會發出席紙條。鼓勵學生上課發言，但不會硬性規定，不過每堂課都有個環節和身旁的同學討論問題。期中期末各一篇paper，從三個題目中挑一題寫，個人覺得擅長寫paper的同學更吃香。
期中以前偏重一戰到冷戰歷史，期中後著重於理論方面。會從不同的角度討論事件。上這個課我覺得最大的收穫是教授會請學生發言，所以能聽不同學生提出的觀念，挺有趣的。
不過因為在星期二的三限，早上有兩節日文的同學來上課可能會容易想睡。"
"Introductory Subjects",1,"Introduction to Popular Culture 51","LAW, Graham","Fall Semester","Tuesday",5,,,4,3,2,"教授很可愛，人很好，可以聊天、很好親近的教授，但上課聊天講話他會生氣。他的課人很多，會發點名單下去傳。每堂課會介紹一個icon，從多啦A夢到貓王都有。期中是考試，考題從他的簡報裡出，考得挺細的（年份要記！）；期末是一篇paper。
簡單來說是堂很水的課，但自己若對內容有興趣的話也是蠻精彩的，教授不太會管你在做什麼（除非聊天講話）。建議就是：點名單記得要勾就行！"
"Introductory Subjects",1,"Introduction to Film Studies","NIITA, Chie","Fall Semester","Wednesday",3,,,4,4,4,"老師人不錯，一開始會覺得不好親近，但實際上也是幽默的人。
每堂課都有一份小作業，期中期末各一篇paper；期中paper是上課看的電影的分析。課程中舉的例子大多是比較「有年代」的電影，可能有些人會沒有共鳴，但教授也會安插近期的電影做介紹，而小作業中使用的電影大部分都能夠自己選。"
"First Year Seminar",1,"First Year Seminar B 41","HOLLEY, David","Fall Semester","Wednesday",5,,,5,5,4,"Subtitle: An American Deserter in North Korea，seminar選課改制前這堂課叫First Year Seminar IB 60。
教授人很好，會認真聽學生說話，曾是LA Times的記者，跑過很多國家，對於亞洲方面的國際事務都有接觸，這方面有興趣的同學都可以向教授探討，他會很認真地給你反饋。
這堂課會讀一本書，讀完後會讀其他相關資料，期中之後會討論到北韓核彈問題。期中期末各一篇paper。每節課都有要讀的篇章，都不算太長，課堂上教授會要求每個學生在課堂分享讀書的感想，或者可以提出疑問。"
"Introductory Subjects",1,"APM- Introduction to French Studies 51","MELLET, Xavier","Fall Semester","Thursday",4,,,3,4,3,"教授人很溫柔，聲音也很柔，有時會有點小聲，所以有點催眠，上課中間會有short break。
上課內容以法國政治史為主，沒有期中考，期末是一個essay考試，外加製作一份政黨手冊(manifesto)。每堂課都會點名。算甜的一門課。"
"First Year Seminar",1,"First Year Seminar IB 60","Holley David","Fall Semester","Wednesday",5,,,5,5,5,"老師很好，能學到很多。只要跟著進度讀書，每週發表一些看法即可。有期中和期末，都是paper。"
"Introductory Subjects",1," Introduction to Macroeconomics　51","BAAK Saang Joon","Fall Semester","Monday",5,,,5,4,5,"教授是個可愛的韓國人，但要拿高分要靠自己認真讀很厚的原文課本。期中和期末都是考試。"
"Introductory Subjects",1," Introduction to Marketing　51","Mariko Morimoto","Fall Semester","Monday",3,,,5,4,5,"教授很嚴格，有固定座位，不能用電子產品。要快速抄筆記，一定要課堂發言。期中和期末都是考試，都會有電腦的選擇題作業，但不難。"
"Introductory Subjects",1,"Introduction to International Relations 51","CHEUNG Mong　　","Fall Semester","Tuesday",3,,,3,4,3,"以歷史戰爭為背景的國際關係，和各種主義的介紹。上課會有討論，期中和期末都是paper，有點難，聽不太懂。"
"Intermediate Seminar",2,"Intermediate Seminar 52","SUZUKI, Ayako","Fall Semester","Thursday",2,,,4,5,4,"Game Theory 入門～～
老師非常親切有耐心、人很好，平時作業跟考試也不會太難
授課內容只是基礎的博弈論概念，不用經濟學或微積分的底子。"
"Introductory Subjects",1,"Introductory to Text Mining and Digital Humanities","SCHARLOTH, Joachim","Fall Semester","Tuesday",2,,,4,4,3,"Text Mining 的入門
雖然班上很多擅長寫程式的歐美人士(?)，但基本上不需要programming基礎。
老師人超級好～～會很耐心的教學生怎麼做。
偶而有作業，然後學期末有final presentation & report"
"Intermediate Subjects",2,"Financial Management","TAKEZAWA, Nobuya","Fall Semester","Friday",4,,,5,3,5,"能學到蠻多金融觀念的～
老師幽默風趣，但同時非常嚴格，嚴禁學生拍照或上課交談。
如果照上課步調學，回家勤奮預習複習，考試不會太難而且能有很多收穫～
ps. 這門很熱門，可放preference registration"
"Intermediate Subjects",2,"Pacific Perspectives on Empire, War, and Globalization","DVORAK, Gregory Eric","Fall Semester","Wednesday",4,"Wednesday",5,5,4,5,"我超喜歡Greg～～
教授畢生的研究就是太平洋文化歷史政治，可以明顯看出教授對這領域的passion 跟dedication。跟著Greg輕柔的語調，彷彿坐上一艘小木筏一同展開精彩刺激的冒險，途中有娛樂有心碎，但最重要的是，有成長。
作業量偏多而且exam 跟essay都有。但教授給分非常仁慈，完全不用擔心難拿分。"
